515.41,  0.00,  0.00,  0.00,-687.22,-171.80,-57.27,  0.00,  0.00,  0.00,  0.00,-171.80,
   0.00,275348.15,  0.00,687.22,  0.00,  0.00,  0.00,-274890.00,  0.00,  0.00,  0.00,  0.00,
   0.00,  0.00,549837.27,171.80,  0.00,  0.00,  0.00,  0.00,-57.27,171.80,  0.00,  0.00,
   0.00,687.22,171.80,2061.65,  0.00,  0.00,  0.00,  0.00,-171.80,343.61,  0.00,  0.00,
 -687.22,  0.00,  0.00,  0.00,1506.59,  0.00,  0.00,  0.00,  0.00,  0.00,-132.16,  0.00,
 -171.80,  0.00,  0.00,  0.00,  0.00,951.53,171.80,  0.00,  0.00,  0.00,  0.00,343.61,
 -57.27,  0.00,  0.00,  0.00,  0.00,171.80,105921.26,105775.82,-105775.82,  0.00,-132.26, 39.55,
   0.00,-274890.00,  0.00,  0.00,  0.00,  0.00,105775.82,380753.99,-105775.82,132.26, -0.00,132.26,
   0.00,  0.00,-57.27,-171.80,  0.00,  0.00,-105775.82,-105775.82,105921.26,-39.55,-132.26,  0.00,
   0.00,  0.00,171.80,343.61,  0.00,  0.00, -0.00,132.26,-39.55,1267.11,-213.64,213.64,
   0.00,  0.00,  0.00,  0.00,-132.16,  0.00,-132.26,  0.00,-132.26,-213.64,712.04,213.64,
 -171.80,  0.00,  0.00,  0.00,  0.00,343.61, 39.55,132.26,  0.00,213.64,213.64,1267.11,
